Year,Rank,Name,Team,Time,Notes,Rider
2012,1,NA,Team Sky,"87h 34' 47""",,Bradley Wiggins (GBR)
2012,2,NA,Team Sky,+ 3' 21″,,Chris Froome (GBR)
2012,3,NA,Liquigas–Cannondale,+ 6' 19″,,Vincenzo Nibali (ITA)
2012,4,NA,Lotto–Belisol,+ 10' 15″,,Jurgen Van den Broeck (BEL)
2012,5,NA,BMC Racing Team,+ 11' 04″,,Tejay van Garderen (USA)
2012,6,NA,RadioShack–Nissan,+ 15' 41″,,Haimar Zubeldia (ESP)
2012,7,NA,BMC Racing Team,+ 15' 49″,documented client of Michele Ferrari,Cadel Evans (AUS)
2012,8,NA,Team Europcar,+ 16' 26″,,Pierre Rolland (FRA)
2012,9,NA,Astana,+ 16' 33″,,Janez Brajkovič (SLO)
2012,10,NA,FDJ–BigMat,+ 17' 17″,,Thibaut Pinot (FRA)
2013,1,NA,Team Sky,"83h 56' 40""",,Chris Froome (GBR)
2013,2,NA,Movistar Team,"+ 4' 20""",,Nairo Quintana (COL)
2013,3,NA,Team Katusha,"+ 5' 04""",,Joaquim Rodríguez (ESP)
2013,4,NA,Saxo–Tinkoff,"+ 6' 27""",See #2007 Tour de France. Disqualified from 2010 Tour de France.,Alberto Contador (ESP)
2013,5,NA,Saxo–Tinkoff,"+ 7' 27""",See #2009 Tour de France.,Roman Kreuziger (CZE)
2013,6,NA,Belkin Pro Cycling,"+ 11' 42""",,Bauke Mollema (NED)
2013,7,NA,Astana,"+ 12' 17""",,Jakob Fuglsang (DEN)
2013,8,NA,Movistar Team,"+ 15' 26""",Suspended for two years as part of the Operación Puerto blood doping investigation. See #2007 Tour de France.,Alejandro Valverde (ESP)
2013,9,NA,Cofidis,"+ 15' 52""",,Daniel Navarro (ESP)
2013,10,NA,Garmin–Sharp,"+ 17' 39""",,Andrew Talansky (USA)
2014,1,NA,Astana,"89h 59' 06""",,Vincenzo Nibali (ITA)
2014,2,NA,Ag2r–La Mondiale,"+ 7' 39""",,Jean-Christophe Péraud (FRA)
2014,3,NA,FDJ.fr,"+ 8' 15""",,Thibaut Pinot (FRA)
2014,4,NA,Movistar Team,"+ 9' 40""",Suspended for two years as part of the Operación Puerto blood doping investigation. See #2007 Tour de France.,Alejandro Valverde (ESP)
2014,5,NA,BMC Racing Team,"+ 11' 24""",,Tejay van Garderen (USA)
2014,6,NA,Ag2r–La Mondiale,"+ 11' 26""",,Romain Bardet (FRA)
2014,7,NA,NetApp–Endura,"+ 14' 32""",,Leopold Konig (CZE)
2014,8,NA,Trek Factory Racing,"+ 17' 57""",,Haimar Zubeldia (ESP)
2014,9,NA,Belkin Pro Cycling,"+ 18' 12""",,Laurens ten Dam (NED)
2014,10,NA,Belkin Pro Cycling,"+ 21' 15""",,Bauke Mollema (NED)
2015,1,NA,Team Sky,"84h 46' 14""",,Chris Froome (GBR)
2015,2,NA,Movistar Team,"+ 1' 12""",,Nairo Quintana (COL)
2015,3,NA,Movistar Team,"+ 5' 25""",Suspended for two years as part of the Operación Puerto blood doping investigation. See #2007 Tour de France.,Alejandro Valverde (ESP)
2015,4,NA,Astana,"+ 8' 36""",,Vincenzo Nibali (ITA)
2015,5,NA,Tinkoff–Saxo,"+ 9' 48""",See #2007 Tour de France. Disqualified from 2010 Tour de France.,Alberto Contador (ESP)
2015,6,NA,LottoNL–Jumbo,"+ 10' 47""",,Robert Gesink (NED)
2015,7,NA,Trek Factory Racing,"+ 15' 14""",,Bauke Mollema (NED)
2015,8,NA,IAM Cycling,"+ 15' 39""",,Mathias Frank (SUI)
2015,9,NA,AG2R La Mondiale,"+ 16' 00""",,Romain Bardet (FRA)
2015,10,NA,Team Europcar,"+ 17' 30""",,Pierre Rolland (FRA)
